checkpoint,dataset,snr,metric,mean,lower,upper,n_participants
ft_A,Fitts,10.0,Reconstruction_R2,0.8701854446346495,0.8346714308800621,0.9056994583892369,10
ft_A,Fitts,10.0,Reconstruction_MASE,0.2956949287814394,0.26191875552479665,0.3294711020380821,10
ft_A,Fitts,10.0,Number_of_submovements_per_second,1.574299650154282,1.235126814487244,1.9134724858213201,10
ft_A,Fitts,20.0,Reconstruction_R2,0.8882615235503876,0.8507493725141325,0.9257736745866426,10
ft_A,Fitts,20.0,Reconstruction_MASE,0.26936563409982645,0.22632056174224227,0.31241070645741065,10
ft_A,Fitts,20.0,Number_of_submovements_per_second,1.7456114170784431,1.4499122867353964,2.04131054742149,10
ft_A,Fitts,inf,Reconstruction_R2,0.8545810674868323,0.8096637764983885,0.899498358475276,10
ft_A,Fitts,inf,Reconstruction_MASE,0.3027954606133637,0.250804675541041,0.3547862456856864,10
ft_A,Fitts,inf,Number_of_submovements_per_second,1.8400205966017367,1.5745428890833488,2.1054983041201245,10
ft_A,crank,10.0,Reconstruction_R2,0.8440755780541632,0.8138600256410414,0.874291130467285,5
ft_A,crank,10.0,Reconstruction_MASE,0.08700994104357299,0.07371988350349838,0.10029999858364759,5
ft_A,crank,10.0,Number_of_submovements_per_second,5.82451453583748,5.682373856167537,5.966655215507423,5
ft_A,crank,20.0,Reconstruction_R2,0.92602396039041,0.9061727886436336,0.9458751321371864,5
ft_A,crank,20.0,Reconstruction_MASE,0.05066325501451049,0.04569470405520479,0.05563180597381619,5
ft_A,crank,20.0,Number_of_submovements_per_second,5.5783748035314495,5.516484358713072,5.640265248349827,5
ft_A,crank,inf,Reconstruction_R2,0.887636600214514,0.8629240391689182,0.9123491612601097,5
ft_A,crank,inf,Reconstruction_MASE,0.06765013838301202,0.061874595940690204,0.07342568082533384,5
ft_A,crank,inf,Number_of_submovements_per_second,5.752845364422721,5.551438591913664,5.954252136931778,5
ft_A,object_moving,10.0,Reconstruction_R2,0.9143482252813522,0.8825301015029692,0.9461663490597352,5
ft_A,object_moving,10.0,Reconstruction_MASE,0.16632880098338623,0.14430693541902137,0.1883506665477511,5
ft_A,object_moving,10.0,Number_of_submovements_per_second,2.488298461867112,2.418875940348756,2.557720983385468,5
ft_A,object_moving,20.0,Reconstruction_R2,0.9769699226813067,0.9757643251014962,0.9781755202611171,5
ft_A,object_moving,20.0,Reconstruction_MASE,0.0897936991347987,0.08670630620710736,0.09288109206249005,5
ft_A,object_moving,20.0,Number_of_submovements_per_second,3.3555834417153614,3.1343968438427794,3.5767700395879434,5
ft_A,object_moving,inf,Reconstruction_R2,0.9738731314653684,0.9669711209335686,0.9807751419971681,5
ft_A,object_moving,inf,Reconstruction_MASE,0.0950305742031339,0.08397855029071916,0.10608259811554865,5
ft_A,object_moving,inf,Number_of_submovements_per_second,4.067119514299,3.958244823780213,4.175994204817786,5
ft_A,pointing,10.0,Reconstruction_R2,0.9705475402693463,0.9460307711487328,0.9950643093899598,2
ft_A,pointing,10.0,Reconstruction_MASE,0.19669112001709402,0.1699923482780595,0.22338989175612853,2
ft_A,pointing,10.0,Number_of_submovements_per_second,0.8429338442223085,0.11338597455164234,1.5724817138929748,2
ft_A,pointing,20.0,Reconstruction_R2,0.9774740044684971,0.9336426252943304,1.0213053836426638,2
ft_A,pointing,20.0,Reconstruction_MASE,0.15781358549607843,0.04128423299179304,0.2743429380003638,2
ft_A,pointing,20.0,Number_of_submovements_per_second,1.5549118820824388,-0.9348251536443541,4.044648917809232,2
ft_A,pointing,inf,Reconstruction_R2,0.9820835727597612,0.9757436201122959,0.9884235254072266,2
ft_A,pointing,inf,Reconstruction_MASE,0.13909617707328115,0.1054886374567429,0.17270371668981938,2
ft_A,pointing,inf,Number_of_submovements_per_second,2.6179612682212134,-0.9170233867283923,6.152945923170819,2
ft_A,steering,10.0,Reconstruction_R2,0.9427824726946975,0.9381848321135372,0.9473801132758578,9
ft_A,steering,10.0,Reconstruction_MASE,0.24070703711364405,0.2297600708860909,0.2516540033411972,9
ft_A,steering,10.0,Number_of_submovements_per_second,2.9396996219663927,2.7742846404068477,3.1051146035259376,9
ft_A,steering,20.0,Reconstruction_R2,0.9704944852601598,0.9658603646049068,0.9751286059154128,9
ft_A,steering,20.0,Reconstruction_MASE,0.14724058762114198,0.13723493575483833,0.15724623948744562,9
ft_A,steering,20.0,Number_of_submovements_per_second,4.083678578647475,3.894395917877426,4.272961239417524,9
ft_A,steering,inf,Reconstruction_R2,0.9725929527793055,0.9685720134825077,0.9766138920761033,9
ft_A,steering,inf,Reconstruction_MASE,0.13459036462867646,0.12571449340377513,0.1434662358535778,9
ft_A,steering,inf,Number_of_submovements_per_second,5.576768544025735,5.346029507350117,5.807507580701353,9
ft_A,tablet_writing,10.0,Reconstruction_R2,0.799462608258162,0.7825476896239881,0.8163775268923358,33
ft_A,tablet_writing,10.0,Reconstruction_MASE,0.3918181525391636,0.3722364706575975,0.41139983442072964,33
ft_A,tablet_writing,10.0,Number_of_submovements_per_second,7.318251073649593,6.841066126111681,7.795436021187506,33
ft_A,tablet_writing,20.0,Reconstruction_R2,0.8581714525357598,0.8432708717558495,0.8730720333156701,40
ft_A,tablet_writing,20.0,Reconstruction_MASE,0.31572621321398814,0.2973591729551973,0.33409325347277896,40
ft_A,tablet_writing,20.0,Number_of_submovements_per_second,8.510797473708433,8.000090525834098,9.021504421582767,40
ft_A,tablet_writing,inf,Reconstruction_R2,0.8570253891903058,0.8367525212358269,0.8772982571447847,38
ft_A,tablet_writing,inf,Reconstruction_MASE,0.3038748901917293,0.28091538985121,0.3268343905322486,38
ft_A,tablet_writing,inf,Number_of_submovements_per_second,9.288279788330534,8.890471143336203,9.686088433324866,38
ft_A,whacamole,10.0,Reconstruction_R2,0.8983548693358898,0.885400392115497,0.9113093465562826,128
ft_A,whacamole,10.0,Reconstruction_MASE,0.334158270390625,0.31765631389065585,0.3506602268905942,128
ft_A,whacamole,10.0,Number_of_submovements_per_second,3.3619981302763335,3.210130428773082,3.5138658317795852,128
ft_A,whacamole,20.0,Reconstruction_R2,0.9250065013766289,0.912048784276891,0.9379642184763668,128
ft_A,whacamole,20.0,Reconstruction_MASE,0.23762853648437499,0.22110027859041922,0.2541567943783307,128
ft_A,whacamole,20.0,Number_of_submovements_per_second,4.605367502372246,4.372313998384996,4.838421006359496,128
ft_A,whacamole,inf,Reconstruction_R2,0.929490253329277,0.9165135354818638,0.9424669711766903,128
ft_A,whacamole,inf,Reconstruction_MASE,0.21646696101562501,0.19995100631690826,0.23298291571434177,128
ft_A,whacamole,inf,Number_of_submovements_per_second,5.180075303069316,4.912753360217937,5.447397245920695,128
ft_A2,Fitts,10.0,Reconstruction_R2,0.8695283949242911,0.8355948840426644,0.9034619058059179,10
ft_A2,Fitts,10.0,Reconstruction_MASE,0.2986701669392316,0.26474671800623606,0.33259361587222713,10
ft_A2,Fitts,10.0,Number_of_submovements_per_second,1.70913066787361,1.3886058478621732,2.029655487885047,10
ft_A2,Fitts,20.0,Reconstruction_R2,0.8900358525974971,0.8547033350949288,0.9253683701000653,10
ft_A2,Fitts,20.0,Reconstruction_MASE,0.26948021104793596,0.22933363236688148,0.30962678972899044,10
ft_A2,Fitts,20.0,Number_of_submovements_per_second,1.9265735764651535,1.5892485133300243,2.2638986396002827,10
ft_A2,Fitts,inf,Reconstruction_R2,0.8544525661375844,0.8078431800208065,0.9010619522543623,10
ft_A2,Fitts,inf,Reconstruction_MASE,0.30411753115234597,0.2499802509656298,0.3582548113390621,10
ft_A2,Fitts,inf,Number_of_submovements_per_second,1.9563384264121901,1.7467793857617235,2.1658974670626567,10
ft_A2,crank,10.0,Reconstruction_R2,0.8947455312710035,0.8674938936756923,0.9219971688663148,5
ft_A2,crank,10.0,Reconstruction_MASE,0.07010322688907564,0.056074754701498884,0.08413169907665238,5
ft_A2,crank,10.0,Number_of_submovements_per_second,5.3912381725150995,5.307917112724116,5.474559232306083,5
ft_A2,crank,20.0,Reconstruction_R2,0.9299946104382579,0.9077532296672888,0.9522359912092271,5
ft_A2,crank,20.0,Reconstruction_MASE,0.048421025523967695,0.0431093706622971,0.05373268038563829,5
ft_A2,crank,20.0,Number_of_submovements_per_second,5.573750178490604,5.5001840748264135,5.647316282154795,5
ft_A2,crank,inf,Reconstruction_R2,0.9046415156461152,0.8838621454067043,0.9254208858855261,5
ft_A2,crank,inf,Reconstruction_MASE,0.06123200499206076,0.05791313777426483,0.06455087220985668,5
ft_A2,crank,inf,Number_of_submovements_per_second,5.777130390689619,5.609810153014232,5.944450628365006,5
ft_A2,object_moving,10.0,Reconstruction_R2,0.9279979693921154,0.9154483637520443,0.9405475750321866,5
ft_A2,object_moving,10.0,Reconstruction_MASE,0.1606123547373016,0.14595976996830654,0.17526493950629665,5
ft_A2,object_moving,10.0,Number_of_submovements_per_second,2.6360249896578134,2.5026721011851,2.769377878130527,5
ft_A2,object_moving,20.0,Reconstruction_R2,0.9751428049125422,0.970004743607617,0.9802808662174675,5
ft_A2,object_moving,20.0,Reconstruction_MASE,0.09249561029475499,0.08659665424612004,0.09839456634338994,5
ft_A2,object_moving,20.0,Number_of_submovements_per_second,3.429333922049973,3.200853170624584,3.657814673475362,5
ft_A2,object_moving,inf,Reconstruction_R2,0.9655541018033638,0.9511744998578593,0.9799337037488682,5
ft_A2,object_moving,inf,Reconstruction_MASE,0.10163192209629628,0.08759664411648374,0.11566720007610881,5
ft_A2,object_moving,inf,Number_of_submovements_per_second,3.8777393721776385,3.7791310131495055,3.9763477312057716,5
ft_A2,pointing,10.0,Reconstruction_R2,0.9645458211392273,0.9175036129774476,1.0115880293010069,2
ft_A2,pointing,10.0,Reconstruction_MASE,0.20466091733455433,0.09614617307933669,0.31317566158977195,2
ft_A2,pointing,10.0,Number_of_submovements_per_second,0.8766417121617021,0.6826551511440444,1.0706282731793597,2
ft_A2,pointing,20.0,Reconstruction_R2,0.9792927659901918,0.9634689629188512,0.9951165690615323,2
ft_A2,pointing,20.0,Reconstruction_MASE,0.15763861829950981,0.0501525451447313,0.2651246914542883,2
ft_A2,pointing,20.0,Number_of_submovements_per_second,1.6176760219557977,-0.6251727533391505,3.860524797250746,2
ft_A2,pointing,inf,Reconstruction_R2,0.9816911065450122,0.9453997472735141,1.0179824658165104,2
ft_A2,pointing,inf,Reconstruction_MASE,0.14279259191130414,0.13330291133157504,0.15228227249103324,2
ft_A2,pointing,inf,Number_of_submovements_per_second,2.6990795411226043,-1.3699499792606242,6.768109061505832,2
ft_A2,steering,10.0,Reconstruction_R2,0.9440844451958272,0.9394239312770502,0.9487449591146043,9
ft_A2,steering,10.0,Reconstruction_MASE,0.2381366227150966,0.22734804806359585,0.24892519736659738,9
ft_A2,steering,10.0,Number_of_submovements_per_second,2.957866201272484,2.8052818514646938,3.1104505510802745,9
ft_A2,steering,20.0,Reconstruction_R2,0.9705991506116626,0.9659696283256117,0.9752286728977134,9
ft_A2,steering,20.0,Reconstruction_MASE,0.14672967935262346,0.13705054248573684,0.15640881621951008,9
ft_A2,steering,20.0,Number_of_submovements_per_second,4.069131708255521,3.882084004193025,4.256179412318018,9
ft_A2,steering,inf,Reconstruction_R2,0.9729188995488589,0.9688738065429162,0.9769639925548016,9
ft_A2,steering,inf,Reconstruction_MASE,0.13330144250630901,0.1245495254779114,0.14205335953470663,9
ft_A2,steering,inf,Number_of_submovements_per_second,5.527032635440494,5.299411696236703,5.754653574644285,9
ft_A2,tablet_writing,10.0,Reconstruction_R2,0.8060662346176278,0.7907573938450384,0.8213750753902173,33
ft_A2,tablet_writing,10.0,Reconstruction_MASE,0.3854288597016658,0.3672297817132346,0.40362793769009697,33
ft_A2,tablet_writing,10.0,Number_of_submovements_per_second,7.0687928609866875,6.641190417393519,7.496395304579856,33
ft_A2,tablet_writing,20.0,Reconstruction_R2,0.8546019627171614,0.8395528016418867,0.869651123792436,40
ft_A2,tablet_writing,20.0,Reconstruction_MASE,0.3202782619630952,0.3012168385757432,0.33933968535044723,40
ft_A2,tablet_writing,20.0,Number_of_submovements_per_second,8.223597904201597,7.760768591346974,8.68642721705622,40
ft_A2,tablet_writing,inf,Reconstruction_R2,0.8610301766591263,0.8449595759832738,0.8771007773349788,38
ft_A2,tablet_writing,inf,Reconstruction_MASE,0.3037130203032581,0.282542277556649,0.32488376304986716,38
ft_A2,tablet_writing,inf,Number_of_submovements_per_second,8.835865071169415,8.470273721083823,9.201456421255008,38
ft_A2,whacamole,10.0,Reconstruction_R2,0.8975062048994005,0.8842378591365667,0.9107745506622342,128
ft_A2,whacamole,10.0,Reconstruction_MASE,0.333906527734375,0.31718897595081536,0.3506240795179347,128
ft_A2,whacamole,10.0,Number_of_submovements_per_second,3.306759198603686,3.157425559132538,3.456092838074834,128
ft_A2,whacamole,20.0,Reconstruction_R2,0.9238072275184095,0.9104433208610553,0.9371711341757637,128
ft_A2,whacamole,20.0,Reconstruction_MASE,0.239289263203125,0.2224563228561306,0.2561222035501194,128
ft_A2,whacamole,20.0,Number_of_submovements_per_second,4.55904505943181,4.328059810857281,4.7900303080063384,128
ft_A2,whacamole,inf,Reconstruction_R2,0.92857950553298,0.9153273515612518,0.9418316595047082,128
ft_A2,whacamole,inf,Reconstruction_MASE,0.217977915078125,0.20113807248404686,0.23481775767220314,128
ft_A2,whacamole,inf,Number_of_submovements_per_second,5.117374301771633,4.853476158704034,5.381272444839233,128
ft_B,Fitts,10.0,Reconstruction_R2,0.8687658315255142,0.8312842283854944,0.906247434665534,10
ft_B,Fitts,10.0,Reconstruction_MASE,0.30440803715054116,0.26218923545274553,0.3466268388483368,10
ft_B,Fitts,10.0,Number_of_submovements_per_second,1.563500287732587,1.3102519265403565,1.8167486489248175,10
ft_B,Fitts,20.0,Reconstruction_R2,0.8930154330545228,0.8560823669060514,0.9299484992029942,10
ft_B,Fitts,20.0,Reconstruction_MASE,0.27538312297419465,0.22182273662934424,0.32894350931904504,10
ft_B,Fitts,20.0,Number_of_submovements_per_second,1.729849894181751,1.4381341805172538,2.0215656078462483,10
ft_B,Fitts,inf,Reconstruction_R2,0.8489744696087864,0.7980424656811744,0.8999064735363984,10
ft_B,Fitts,inf,Reconstruction_MASE,0.3336670225584617,0.262071609712701,0.4052624354042224,10
ft_B,Fitts,inf,Number_of_submovements_per_second,2.0072973811098946,1.7821476112284962,2.232447150991293,10
ft_B,crank,10.0,Reconstruction_R2,0.8917397914387672,0.871774174237722,0.9117054086398125,5
ft_B,crank,10.0,Reconstruction_MASE,0.07188846826951448,0.05710655694529976,0.0866703795937292,5
ft_B,crank,10.0,Number_of_submovements_per_second,4.885474880421612,4.7011719537094825,5.069777807133742,5
ft_B,crank,20.0,Reconstruction_R2,0.9189346331196191,0.9020413688860842,0.935827897353154,5
ft_B,crank,20.0,Reconstruction_MASE,0.05080610522104562,0.0445710351232586,0.05704117531883263,5
ft_B,crank,20.0,Number_of_submovements_per_second,5.499334307445156,5.371793796332925,5.626874818557386,5
ft_B,crank,inf,Reconstruction_R2,0.9020828950967712,0.8863317492053524,0.91783404098819,5
ft_B,crank,inf,Reconstruction_MASE,0.061429927527037395,0.058745704990542325,0.06411415006353247,5
ft_B,crank,inf,Number_of_submovements_per_second,5.692490328249404,5.512432100714679,5.872548555784129,5
ft_B,object_moving,10.0,Reconstruction_R2,0.9213060247551198,0.8835798874325758,0.9590321620776638,5
ft_B,object_moving,10.0,Reconstruction_MASE,0.16225113924232804,0.140049752606174,0.18445252587848207,5
ft_B,object_moving,10.0,Number_of_submovements_per_second,2.2166897260569156,2.0253112762412226,2.4080681758726086,5
ft_B,object_moving,20.0,Reconstruction_R2,0.9771943978692079,0.9745802456663657,0.9798085500720501,5
ft_B,object_moving,20.0,Reconstruction_MASE,0.09091720757134805,0.08608862631031207,0.09574578883238404,5
