checkpoint,snr,metric,n_datasets,est_balanced,lo,hi,est_trial_pooled,across_datasets_min,across_datasets_max,across_datasets_sd
pre_released,10.0,Number_of_submovements_per_second,7,3.360169653974112,3.335957379979566,3.383917378596103,3.769817101181606,1.2705437781488302,7.471646093972904,2.0331689543493483
pre_released,10.0,Reconstruction_MASE,7,0.2554267145590924,0.25331736400189786,0.257726607116554,0.2967207681349939,0.144152406628,0.39067214546435153,0.0948403063122135
pre_released,10.0,Reconstruction_R2,7,0.8491290110384664,0.84641916633619,0.8517962444462391,0.8352290697660482,0.5527717481255532,0.9679401786575206,0.1420498867348147
pre_released,20.0,Number_of_submovements_per_second,7,3.950442282062334,3.920250212032527,3.979910718685878,4.169745059703694,1.7988963959982611,8.166543307045993,2.135833085573163
pre_released,20.0,Reconstruction_MASE,7,0.2104777837182953,0.20842914065461585,0.21259285559840654,0.260443945324214,0.12191733126999998,0.34098774355958955,0.08514469553402548
pre_released,20.0,Reconstruction_R2,7,0.880429522271935,0.8777853738175291,0.8829141895643043,0.8627288484437069,0.6426029860973358,0.9767768243395916,0.1162384180548994
pre_released,inf,Number_of_submovements_per_second,7,4.971670982819943,4.936203776192754,5.006388102675785,4.694164116074749,1.938862110177103,8.499552155238442,1.9809828107882976
pre_released,inf,Reconstruction_MASE,7,0.2023168509024432,0.20029810861355066,0.2044858358981926,0.2558065355738669,0.11805041275375,0.3315941193554328,0.08296049674176802
pre_released,inf,Reconstruction_R2,7,0.8833137521929667,0.8806348412847692,0.8859989793489839,0.8647269594907858,0.6493878804445267,0.975715016899835,0.11419543170095167
pre_rerun,10.0,Number_of_submovements_per_second,7,3.457652165828461,3.433041315174343,3.482945125334369,3.8598600330349195,1.349573783674666,7.598824132169173,2.05847277052423
pre_rerun,10.0,Reconstruction_MASE,7,0.2552146149394323,0.25296824169825916,0.2575875203437855,0.29784285879134337,0.15171497551699997,0.38288245342015254,0.09406438894305214
pre_rerun,10.0,Reconstruction_R2,7,0.8440681463584493,0.8410068879363871,0.8470854967235988,0.8339903274960984,0.5045991768240928,0.9700402202927351,0.15958290008442996
pre_rerun,20.0,Number_of_submovements_per_second,7,3.992394895014542,3.9619794239053614,4.022820518057449,4.23752080957246,1.8895485781603991,8.199447069446473,2.1164361944450625
pre_rerun,20.0,Reconstruction_MASE,7,0.20937607688416401,0.20721595981804294,0.21164209871079356,0.2611407137769702,0.12032753813625,0.33057339991186535,0.08456753029570516
pre_rerun,20.0,Reconstruction_R2,7,0.8756699482691646,0.8728332985999184,0.8784135529786015,0.8610669520496105,0.6021254534721374,0.9770664056083992,0.13031768020710907
pre_rerun,inf,Number_of_submovements_per_second,7,4.832956592517247,4.798461430687254,4.867467408705839,4.717458752760867,2.1116485546662633,8.594289684716697,1.9768692006376618
pre_rerun,inf,Reconstruction_MASE,7,0.20794749867074905,0.20573555442662944,0.21028133274099303,0.2608115593674153,0.12221088994125001,0.3227743944156801,0.07814867824993171
pre_rerun,inf,Reconstruction_R2,7,0.8268956627034034,0.8177043220991651,0.8355047034686148,0.8321822963816237,0.2599320073723793,0.974808697208304,0.2546375125679444
pre_rerun_s1000,10.0,Number_of_submovements_per_second,7,3.4766095030940596,3.452988732037177,3.499879520164319,3.93274603991759,1.488593506352706,7.82990348365837,2.0890214669203635
