checkpoint,dataset,snr,metric,median,lower,upper,n_participants,interval
ft_A,Fitts,10.0,Reconstruction_R2,0.8733638409412268,0.8108065832744945,0.9445900678634643,10,min–max
ft_A,Fitts,10.0,Reconstruction_MASE,0.3022110475151515,0.230763194,0.3615057209090909,10,min–max
ft_A,Fitts,10.0,Number_of_submovements_per_second,1.3846664124866948,1.0917975008487701,2.400286439806223,10,min–max
ft_A,Fitts,20.0,Reconstruction_R2,0.8917604181915522,0.7611377239227295,0.9673353963428073,10,min–max
ft_A,Fitts,20.0,Reconstruction_MASE,0.2662184006009615,0.17188402555555554,0.41179499785714285,10,min–max
ft_A,Fitts,20.0,Number_of_submovements_per_second,1.5985176453832537,1.267565100600845,2.3090584482997656,10,min–max
ft_A,Fitts,inf,Reconstruction_R2,0.8704550402859847,0.7157288938760757,0.9345479528109233,10,min–max
ft_A,Fitts,inf,Reconstruction_MASE,0.2850284055208333,0.21111091066666668,0.4668228841666667,10,min–max
ft_A,Fitts,inf,Number_of_submovements_per_second,1.7662598598482353,1.14638077840209,2.51336139626801,10,min–max
ft_A,crank,10.0,Reconstruction_R2,0.8433615675678959,0.805736535361835,0.8677609328712735,5,min–max
ft_A,crank,10.0,Reconstruction_MASE,0.08911001425,0.0733955895882353,0.09753901062962962,5,min–max
ft_A,crank,10.0,Number_of_submovements_per_second,5.826442837715149,5.689549779190736,5.9978098918994265,5,min–max
ft_A,crank,20.0,Reconstruction_R2,0.9259019367622606,0.9101011134110965,0.9469552352314904,5,min–max
ft_A,crank,20.0,Reconstruction_MASE,0.04985191053846154,0.046401348333333335,0.05541407490909091,5,min–max
ft_A,crank,20.0,Number_of_submovements_per_second,5.585989696638925,5.506667334299821,5.641905106604099,5,min–max
ft_A,crank,inf,Reconstruction_R2,0.8837708902359008,0.8597004872102004,0.908146554773504,5,min–max
ft_A,crank,inf,Reconstruction_MASE,0.0708980415925926,0.061472756318181825,0.0711707325,5,min–max
ft_A,crank,inf,Number_of_submovements_per_second,5.734726752747189,5.551508549186918,6.003045988082886,5,min–max
ft_A,object_moving,10.0,Reconstruction_R2,0.9211340427398682,0.8861936330795288,0.9435278688158307,5,min–max
ft_A,object_moving,10.0,Reconstruction_MASE,0.1635171504,0.1408506188095238,0.18838338233333332,5,min–max
ft_A,object_moving,10.0,Number_of_submovements_per_second,2.5097821429371834,2.4203690833279063,2.538539464585483,5,min–max
ft_A,object_moving,20.0,Reconstruction_R2,0.976538245167051,0.9759664138158163,0.9782780140638352,5,min–max
ft_A,object_moving,20.0,Reconstruction_MASE,0.09058858974999999,0.08557649108695652,0.09175679893333334,5,min–max
ft_A,object_moving,20.0,Number_of_submovements_per_second,3.2817909461648567,3.167087685316801,3.6085055356046984,5,min–max
ft_A,object_moving,inf,Reconstruction_R2,0.9769235551357269,0.9643073104895078,0.9774612784385681,5,min–max
ft_A,object_moving,inf,Reconstruction_MASE,0.09152838225925926,0.08906248084615384,0.11065129226923077,5,min–max
ft_A,object_moving,inf,Number_of_submovements_per_second,4.118461757898331,3.970324837913116,4.149398520015753,5,min–max
ft_A,pointing,10.0,Reconstruction_R2,0.9705475402693463,0.9686180286937289,0.9724770518449637,2,min–max
ft_A,pointing,10.0,Reconstruction_MASE,0.19669112001709402,0.1945898811111111,0.19879235892307692,2,min–max
ft_A,pointing,10.0,Number_of_submovements_per_second,0.8429338442223085,0.7855171816689628,0.9003505067756543,2,min–max
ft_A,pointing,20.0,Reconstruction_R2,0.9774740044684971,0.9740244001150131,0.980923608821981,2,min–max
ft_A,pointing,20.0,Reconstruction_MASE,0.15781358549607843,0.14864252655882354,0.16698464443333333,2,min–max
ft_A,pointing,20.0,Number_of_submovements_per_second,1.5549118820824388,1.3589653278262739,1.7508584363386035,2,min–max
ft_A,pointing,inf,Reconstruction_R2,0.9820835727597612,0.9815846076652185,0.982582537854304,2,min–max
ft_A,pointing,inf,Reconstruction_MASE,0.13909617707328115,0.1364512063432836,0.14174114780327868,2,min–max
ft_A,pointing,inf,Number_of_submovements_per_second,2.6179612682212134,2.3397519422778443,2.8961705941645826,2,min–max
