checkpoint,domain,group,metric,mean,lower,upper,n_units,unit
pre_released,synthetic,all,Reconstruction_R2,0.9839326364324532,0.9834336124525483,0.9844403627228329,4608,trial
pre_released,synthetic,all,Reconstruction_MASE,0.09499381674363071,0.09331892632470853,0.09671219085163708,4608,trial
pre_released,synthetic,all,Onset_Precision,0.8065510584817941,0.8023627617805402,0.8105957061349931,4608,trial
pre_released,synthetic,all,Onset_Recall,0.896322967475904,0.8928543801742252,0.8999730033131227,4608,trial
pre_released,synthetic,all,Onset_F1,0.8465816292104574,0.8428715972339247,0.850274298760752,4608,trial
pre_released,synthetic,all,Onset_Distance,0.8247129524158386,0.8068403973506642,0.8420626832795688,4608,trial
pre_released,synthetic,all,Amplitude_R2,0.8420984507538378,0.8361267455303782,0.8478650928248599,4608,trial
pre_released,synthetic,all,Duration_R2,0.8112593450997438,0.8037916150422664,0.8185361340920079,4608,trial
pre_released,synthetic,all,Number_of_submovements_per_second,2.990664194585406,2.946912890792494,3.0360173861990916,4608,trial
pre_released,synthetic,snr10_refr0.0-0.5,Reconstruction_R2,0.9483333025127649,0.9469734662532574,0.9495985077461228,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Reconstruction_MASE,0.20613263672566973,0.20417555826716124,0.20818242661989644,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Onset_Precision,0.5933999902760361,0.5891992963535855,0.5976866387661255,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Onset_Recall,0.633712690171218,0.6280098265520411,0.6391417824335986,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Onset_F1,0.611334337685058,0.6072458580982558,0.6156988524827085,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Onset_Distance,1.8067385945144325,1.7883183531427822,1.8246908785134577,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Amplitude_R2,0.4417770740110427,0.4341976477444405,0.44873958340322134,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Duration_R2,0.22527780197560787,0.21177447147201747,0.23894015440309885,512,trial
pre_released,synthetic,snr10_refr0.0-0.5,Number_of_submovements_per_second,4.774570526060415,4.734723850280716,4.817352759968344,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Reconstruction_R2,0.9711900729453191,0.9702714669838315,0.9721511781506706,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Reconstruction_MASE,0.15122030324710067,0.1495817239923781,0.1528306344142038,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Onset_Precision,0.6790961517481062,0.673131402811438,0.684864853352018,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Onset_Recall,0.9000701505137352,0.8957702295348134,0.9046142416739787,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Onset_F1,0.772225021218817,0.7676273808760761,0.777186870304661,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Onset_Distance,1.3795226342984486,1.3607420947820037,1.3988573392165589,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Amplitude_R2,0.9118989399867132,0.9076089070789749,0.9161654740542872,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Duration_R2,0.864214698667638,0.8564364869467681,0.8718714898190228,512,trial
pre_released,synthetic,snr10_refr0.5-1.0,Number_of_submovements_per_second,2.9035548187675886,2.8740206376496644,2.9321515000374347,512,trial
pre_released,synthetic,snr10_refr1-1.5,Reconstruction_R2,0.9864002206595615,0.9856741055118619,0.987041142032831,512,trial
pre_released,synthetic,snr10_refr1-1.5,Reconstruction_MASE,0.1107857746683294,0.10928495726911933,0.11231007327842235,512,trial
pre_released,synthetic,snr10_refr1-1.5,Onset_Precision,0.8094344522090539,0.8016141447589705,0.8173030284121678,512,trial
pre_released,synthetic,snr10_refr1-1.5,Onset_Recall,0.9533697571630696,0.9490529310429239,0.9573771471071053,512,trial
pre_released,synthetic,snr10_refr1-1.5,Onset_F1,0.8730112811095176,0.8675173153309549,0.8785083138951241,512,trial
pre_released,synthetic,snr10_refr1-1.5,Onset_Distance,1.0251483458398734,1.0057900736217464,1.0455300657617594,512,trial
pre_released,synthetic,snr10_refr1-1.5,Amplitude_R2,0.9713132214965299,0.9681456208490999,0.9742556163080736,512,trial
pre_released,synthetic,snr10_refr1-1.5,Duration_R2,0.9424771410413086,0.9362404900195542,0.9481368887092685,512,trial
pre_released,synthetic,snr10_refr1-1.5,Number_of_submovements_per_second,1.5885938056453597,1.5713672446599958,1.6054717340230127,512,trial
pre_released,synthetic,snr20_refr0.0-0.5,Reconstruction_R2,0.9753643810981885,0.9744004299747757,0.9762457349919714,512,trial
