checkpoint,domain,group,variant,mean,lower,upper,n
ft_B,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9949853495509015,0.994607475673547,0.9953231868363218,512
ft_B,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9950780985413167,0.9946925822999957,0.9954233281098684,512
ft_B,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9984796672234079,0.9983653346251231,0.998575620164047,512
ft_B,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.998505266722989,0.9983786122437549,0.9986091720850907,512
ft_B,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9872268329926883,0.9866342150868149,0.9877875283971662,512
ft_B,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9876473876318276,0.987083883903061,0.9882045631018346,512
ft_B,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9990426498494344,0.9989494851644849,0.999122834179434,512
ft_B,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9990601947297209,0.9989699656472328,0.9991393687319063,512
ft_B,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9999096259886865,0.9999029874190455,0.9999145864829189,512
ft_B,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.999914849787874,0.9999074920698224,0.9999200975739104,512
ft_B2,synthetic,all,per-trial mean (mine),0.9846098039343358,0.9840490340397486,0.9851716874228765,4608
ft_B2,synthetic,all,pooled recompute (paper),0.979587514652783,0.9788397350316611,0.9803280158990499,4608
ft_B2,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9443821660243557,0.9427275165187894,0.9459839336603182,512
ft_B2,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9458737256303525,0.9443287127682989,0.9474169158997245,512
ft_B2,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9693139552746434,0.9680663854902377,0.9704497340106173,512
ft_B2,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9698817645577,0.9685930441424206,0.97107601179568,512
ft_B2,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9876366772672045,0.9870911606092705,0.9881508415797725,512
ft_B2,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.9878824045376735,0.9873444566770744,0.9883943352538234,512
ft_B2,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.9813868195111863,0.9806162824563216,0.9820984379737638,512
ft_B2,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.981576948047948,0.9808087973870385,0.9822987155725126,512
ft_B2,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9947981895990088,0.9943395957001485,0.9952126340096583,512
ft_B2,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9949045968626073,0.9944322133310893,0.9953044238167995,512
ft_B2,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9984654345911694,0.998365692482912,0.998554067517398,512
ft_B2,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.9985057687558199,0.998400858812545,0.9985936898816865,512
ft_B2,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9867869891580776,0.9860842392779887,0.9874335850588978,512
ft_B2,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9872141602966537,0.9865550819217154,0.9878339688682348,512
ft_B2,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.998953171166766,0.9988327795406804,0.9990503387292847,512
ft_B2,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9989617007780944,0.9988219299613427,0.9990669499201933,512
ft_B2,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9998850629879161,0.999878935154993,0.9998903246072587,512
ft_B2,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.999890801722009,0.9998841808632138,0.9998961456992246,512
ft_released,synthetic,all,per-trial mean (mine),0.9853144845936719,0.9848065386015353,0.9858296997327772,4608
ft_released,synthetic,all,pooled recompute (paper),0.980122455303218,0.9794188677099369,0.9808298333829925,4608
ft_released,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9465120619224036,0.9451790405873908,0.9478137820435222,512
ft_released,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9474960955331395,0.9461634893201774,0.9488117928415204,512
ft_released,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9717118822055636,0.9707759166543838,0.9726218548690667,512
ft_released,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.972132962970531,0.9711809153506133,0.9730577277124499,512
ft_released,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9894476527278894,0.9891675324499374,0.9897131790377898,512
ft_released,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.9896523552684527,0.9893418756485459,0.9899304421705791,512
ft_released,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.9802619141933974,0.9794486296799733,0.9810144395683892,512
ft_released,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.9804395156937094,0.9795698539948918,0.9812518445504876,512
ft_released,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9950847467814455,0.9947532621066785,0.9953823187039234,512
ft_released,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9951923866237232,0.9948589816089365,0.9954942857599234,512
ft_released,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9985556850885623,0.9984267639694735,0.9986509033944457,512
ft_released,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.998570823593541,0.9984188034958429,0.9986805619062146,512
ft_released,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9872493983120657,0.9866746443964075,0.9878192863165168,512
