checkpoint,dataset,snr,metric,n_trials,n_participants,min_trials,max_trials,est_trial,lo_trial,hi_trial,est_balanced,lo_balanced,hi_balanced,stratified,note
pre_released,Fitts,10.0,Number_of_submovements_per_second,5420,10,432,652,1.7713057147321802,1.7542323044532175,1.78824500764288,1.8111402107120824,1.7929211679843435,1.8288870719718244,True,
pre_released,Fitts,10.0,Reconstruction_MASE,5420,10,432,652,0.29242950754612546,0.2883939031339945,0.2965304019758764,0.29766212845990625,0.29337238183376213,0.3020123803601185,True,
pre_released,Fitts,10.0,Reconstruction_R2,5420,10,432,652,0.8771527264830811,0.8742414610255579,0.8800377744109098,0.8729022200603653,0.8697975151682814,0.8759136818041263,True,
pre_released,Fitts,20.0,Number_of_submovements_per_second,5420,10,432,652,1.7988963959982611,1.782916123094338,1.814876990702701,1.842725471817106,1.8256032779382314,1.8598255712191725,True,
pre_released,Fitts,20.0,Reconstruction_MASE,5420,10,432,652,0.2663101576597786,0.26281897541640226,0.2699370102846679,0.2714615864012454,0.2677626780357881,0.27532660225426586,True,
pre_released,Fitts,20.0,Reconstruction_R2,5420,10,432,652,0.8895332797976877,0.8867075038365881,0.8923938322933287,0.8853367523820774,0.8823321708358538,0.8883712355318789,True,
pre_released,Fitts,inf,Number_of_submovements_per_second,5420,10,432,652,1.938862110177103,1.9229508137062785,1.9547889795045221,1.984567718327663,1.9676150928004459,2.001379534423261,True,
pre_released,Fitts,inf,Reconstruction_MASE,5420,10,432,652,0.26619497811180814,0.2626085480342897,0.26980700667225094,0.27129400017723765,0.2674862502496359,0.27513233982245444,True,
pre_released,Fitts,inf,Reconstruction_R2,5420,10,432,652,0.8879443602918259,0.8850992075763506,0.8907746006347707,0.8838080387410177,0.8807780591406392,0.8868228850882506,True,
pre_released,crank,10.0,Number_of_submovements_per_second,1000,5,200,200,3.424900182634592,3.3918222634848205,3.4588553745746613,3.4249001826345924,3.391822263484821,3.4588553745746617,True,
pre_released,crank,10.0,Reconstruction_MASE,1000,5,200,200,0.144152406628,0.1424639638033,0.14588330905865002,0.144152406628,0.14246396380329998,0.14588330905865002,True,
pre_released,crank,10.0,Reconstruction_R2,1000,5,200,200,0.5527717481255532,0.5387919303536415,0.566187439788878,0.5527717481255532,0.5387919303536416,0.566187439788878,True,
pre_released,crank,20.0,Number_of_submovements_per_second,1000,5,200,200,4.163168325126171,4.1047970534674825,4.221937703479082,4.16316832512617,4.1047970534674825,4.221937703479082,True,
pre_released,crank,20.0,Reconstruction_MASE,1000,5,200,200,0.125428212996,0.12379724978899999,0.12712823482832503,0.125428212996,0.123797249789,0.12712823482832503,True,
pre_released,crank,20.0,Reconstruction_R2,1000,5,200,200,0.6426029860973358,0.6294531994223594,0.6558712075099349,0.6426029860973358,0.6294531994223594,0.655871207509935,True,
pre_released,crank,inf,Number_of_submovements_per_second,1000,5,200,200,5.120204067081213,5.028435423245654,5.212465942695737,5.120204067081213,5.028435423245654,5.2124659426957365,True,
pre_released,crank,inf,Reconstruction_MASE,1000,5,200,200,0.120437514395,0.1187682062098,0.1221990128777,0.12043751439500001,0.11876820620980003,0.12219901287769999,True,
pre_released,crank,inf,Reconstruction_R2,1000,5,200,200,0.6493878804445267,0.6340344609156251,0.6639813827946781,0.6493878804445267,0.6340344609156251,0.6639813827946782,True,
pre_released,object_moving,10.0,Number_of_submovements_per_second,800,5,160,160,2.410841200291179,2.346183070706902,2.476002118572942,2.410841200291179,2.346183070706902,2.476002118572942,True,
pre_released,object_moving,10.0,Reconstruction_MASE,800,5,160,160,0.16295710700875002,0.15803216487306251,0.16820780112499997,0.16295710700875002,0.15803216487306251,0.168207801125,True,
pre_released,object_moving,10.0,Reconstruction_R2,800,5,160,160,0.9216687340289355,0.9145717786364257,0.9285579863674939,0.9216687340289355,0.9145717786364257,0.9285579863674938,True,
pre_released,object_moving,20.0,Number_of_submovements_per_second,800,5,160,160,3.0830149296903984,3.005769631747389,3.1624531088158254,3.0830149296903984,3.005769631747389,3.1624531088158254,True,
pre_released,object_moving,20.0,Reconstruction_MASE,800,5,160,160,0.12191733126999998,0.11806219899534373,0.125910961164625,0.12191733127000001,0.11806219899534373,0.125910961164625,True,
pre_released,object_moving,20.0,Reconstruction_R2,800,5,160,160,0.9534510587155819,0.9488332527521998,0.9577401973810047,0.953451058715582,0.9488332527521997,0.9577401973810047,True,
pre_released,object_moving,inf,Number_of_submovements_per_second,800,5,160,160,4.949270823877304,4.860656990879215,5.035967021629913,4.949270823877304,4.860656990879215,5.035967021629913,True,
pre_released,object_moving,inf,Reconstruction_MASE,800,5,160,160,0.11805041275375,0.11485675695240626,0.12124851533593752,0.11805041275375001,0.11485675695240626,0.12124851533593749,True,
pre_released,object_moving,inf,Reconstruction_R2,800,5,160,160,0.957412117794156,0.9545821712594479,0.9601256200633943,0.957412117794156,0.954582171259448,0.9601256200633943,True,
pre_released,pointing,10.0,Number_of_submovements_per_second,683,2,332,351,1.2705437781488302,1.2206476302002727,1.3206158195888844,1.267716950488333,1.2180870985691425,1.3175513584906764,True,
pre_released,pointing,10.0,Reconstruction_MASE,683,2,332,351,0.20317684261786237,0.1987104593067716,0.20768523932595165,0.2030031742932456,0.19855841473706087,0.20751349679163578,True,
pre_released,pointing,10.0,Reconstruction_R2,683,2,332,351,0.9679401786575206,0.9655727299554805,0.9701126197486636,0.9679151198126664,0.9655478305004618,0.9700735028830849,True,
pre_released,pointing,20.0,Number_of_submovements_per_second,683,2,332,351,1.9525817263800525,1.9005196314379382,2.005405394887786,1.9511925483303438,1.8990390470175935,2.0039561625239655,True,
pre_released,pointing,20.0,Reconstruction_MASE,683,2,332,351,0.16751011137188873,0.16364984742185215,0.17145117590728404,0.1674018226483927,0.16357856478058677,0.171335239519159,True,
pre_released,pointing,20.0,Reconstruction_R2,683,2,332,351,0.9767768243395916,0.9749787820009501,0.9784846830747661,0.9767319179169346,0.9749443370207361,0.9784293795694675,True,
pre_released,pointing,inf,Number_of_submovements_per_second,683,2,332,351,3.915214696912692,3.8373514745373547,3.992411374770334,3.909949220268315,3.8320000330272848,3.986712140281972,True,
pre_released,pointing,inf,Reconstruction_MASE,683,2,332,351,0.16059586156515374,0.1565875222683748,0.1648456572397877,0.16049440408195173,0.15646903955497696,0.16473699591481322,True,
pre_released,pointing,inf,Reconstruction_R2,683,2,332,351,0.975715016899835,0.9736997884765027,0.9776088603440873,0.9756767063541691,0.9736688577889093,0.9775641886986759,True,
pre_released,steering,10.0,Number_of_submovements_per_second,360,9,40,40,3.5850783437490463,3.5608816912708185,3.6095796269519873,3.5850783437490463,3.5608816912708185,3.6095796269519873,True,
pre_released,steering,10.0,Reconstruction_MASE,360,9,40,40,0.2375572993888889,0.23673062889444443,0.23843904504444446,0.23755729938888892,0.2367306288944445,0.23843904504444446,True,
pre_released,steering,10.0,Reconstruction_R2,360,9,40,40,0.9427065092656347,0.9421241948132714,0.9432816024786896,0.9427065092656347,0.9421241948132714,0.9432816024786895,True,
pre_released,steering,20.0,Number_of_submovements_per_second,360,9,40,40,4.289361833284299,4.259805895931398,4.318622283109774,4.289361833284299,4.259805895931398,4.318622283109774,True,
pre_released,steering,20.0,Reconstruction_MASE,360,9,40,40,0.17096983491666667,0.17016440032638888,0.17178366797222222,0.1709698349166667,0.1701644003263889,0.1717836679722222,True,
pre_released,steering,20.0,Reconstruction_R2,360,9,40,40,0.9621543524993791,0.9616612109997206,0.9626496698334813,0.962154352499379,0.9616612109997206,0.9626496698334812,True,
pre_released,steering,inf,Number_of_submovements_per_second,360,9,40,40,5.767438660065333,5.738072954459737,5.797022869282713,5.767438660065333,5.738072954459737,5.797022869282713,True,
pre_released,steering,inf,Reconstruction_MASE,360,9,40,40,0.16043979510833334,0.15965649344020835,0.16122969527819442,0.1604397951083333,0.15965649344020835,0.16122969527819442,True,
pre_released,steering,inf,Reconstruction_R2,360,9,40,40,0.9643331156836615,0.9638725442853239,0.9647931710299519,0.9643331156836614,0.963872544285324,0.9647931710299519,True,
pre_released,tablet_writing,10.0,Number_of_submovements_per_second,3801,44,5,572,7.471646093972904,7.423456410532663,7.518221142547442,7.345042223150769,7.284033207691582,7.405498619858718,True,
pre_released,tablet_writing,10.0,Reconstruction_MASE,3801,44,5,572,0.39067214546435153,0.38805458610438043,0.39325190868192583,0.3946808077545993,0.39149046239507607,0.3978690046506035,True,
pre_released,tablet_writing,10.0,Reconstruction_R2,3801,44,5,572,0.7950958357268777,0.7926322786435896,0.7975908518049222,0.7954690694138516,0.7925521525052164,0.7983542183326354,True,
pre_released,tablet_writing,20.0,Number_of_submovements_per_second,3801,44,5,572,8.166543307045993,8.11784107230961,8.215796564807476,8.083514075155753,8.015278373590641,8.153876765384128,True,
pre_released,tablet_writing,20.0,Reconstruction_MASE,3801,44,5,572,0.3409877435595896,0.33854271932017893,0.34341057320165747,0.3458445866333729,0.3427474430326758,0.3488876746589168,True,
pre_released,tablet_writing,20.0,Reconstruction_R2,3801,44,5,572,0.8312983551768057,0.8290587210276509,0.8334886540506614,0.8302175255273304,0.8274307733536468,0.8329672847844644,True,
pre_released,tablet_writing,inf,Number_of_submovements_per_second,3801,44,5,572,8.499552155238442,8.453943331459069,8.544829546150492,8.441879980267224,8.384324426934246,8.499692322337603,True,
pre_released,tablet_writing,inf,Reconstruction_MASE,3801,44,5,572,0.3315941193554328,0.32920728875367006,0.3340582882034859,0.3367569495609883,0.3337633712591563,0.3397685770419886,True,
